entidad,TotalDatos,Estado_0PSO,Estado_0PAT,Estado_0PER,Estado_0P,Estado_0PC,Per_0PSO,Per_0PAT,Per_0PER,Per_0P,Per_0PC
CAR,4124270,1005145,337261,924470,2266876,0,20.893684210526317,6.3413157894736845,19.964473684210525,47.19921052631579,0.0
CENICAFE,42128801,22198565,139863,4176639,26515067,0,52.364,0.6033999999999999,10.06,63.0268,0.0
CRQ,96142,7428,1119,5134,13681,0,4.74,1.3130000000000002,3.232,9.286,0.0
EAAB,326819,0,56,4,60,0,0.0,0.02,0.0,0.02,0.0
EST_PART,596881,15093,1194,52981,69268,0,6.956666666666666,0.5433333333333333,22.343333333333334,29.83666666666667,0.0
FOPAE,3685168,0,13121,454384,467505,0,0.0,0.4927272727272726,19.36181818181818,19.853636363636365,0.0
IDEAM,24409307,2391756,426147,2732507,5550410,0,9.465617977528089,2.076202247191011,10.311123595505618,21.852988764044945,0.0
IDIGER,4522591,139871,1284,38,141193,0,2.4055555555555554,0.021111111111111112,22.22222222222222,24.65222222222222,0.0
INVEMAR,88488,16178,890,7816,24884,0,18.225,1.095,10.83,30.144999999999996,0.0
ISAGEN,1165,109,2,0,111,0,9.36,0.17,0.0,9.53,0.0
