,Station,FreqInf
0,11105020,
1,11135030,h
2,12015100,
3,12015110,
4,13085050,
5,15085050,h
6,16055120,
7,21015040,h
8,21015050,
9,21015070,h
10,21055070,
11,21115010,
12,21115170,h
13,21115180,h
14,21195170,h
15,21195190,h
16,21201200,
17,21201580,
18,21201980,
19,21202180,
20,21202190,
21,21202220,
22,21202240,
23,21202250,
24,21206780,
25,21206810,
26,21206890,
27,21206930,h
28,21206950,
29,21206990,h
30,21208480,
31,21215160,h
32,21255170,h
33,22075050,h
34,23125160,h
35,23195040,h
36,23195240,h
37,24035370,h
38,24035390,h
39,24035430,h
40,24055070,h
41,24055080,h
42,25025340,
43,26015030,
44,26035100,
45,26055100,
46,26055110,
47,26095320,
48,26105250,
49,26135290,
50,26135300,
51,26145090,
52,26155240,
53,26185030,
54,27015280,
55,28025120,
56,29045150,
57,35020300,
58,35025080,h
59,35025110,
60,35035130,h
61,35075070,h
62,35075080,h
63,35085070,h
64,35095120,h
65,35185010,
66,35260050,
67,36015020,h
68,37015030,h
69,44035040,h
70,47035030,
71,48015040,
72,51025060,h
73,52015050,
74,52055150,
75,52055160,h
76,52055210,h
77,52055220,
78,53075020,h
79,57025020,
80,2120000104,
81,2120000105,
82,2120000106,
83,2120000107,
84,2120000133,
85,2120000142,
86,2120000172,
87,2120500201,
88,2120500203,
89,2120700037,
90,2120700038,
91,3526500201,
